cell type,embryonic stage,6th week post-fertilization stage,10th week post-fertilization stage,11th week post-fertilization stage,12th week post-fertilization stage,13th week post-fertilization stage,15th week post-fertilization stage,16th week post-fertilization stage,17th week post-fertilization stage,19th week post-fertilization stage,20th week post-fertilization stage,Total
cardiac muscle cell,2375,3149,191,0,8485,17154,25913,9943,18967,14021,5097,105295
stromal cell,0,0,0,1002,3658,293,5926,1378,3698,0,0,15955
unknown,3240,0,1724,0,0,10161,0,0,0,0,0,15125
cardiac mesenchymal cell,117,2556,198,0,0,9357,0,0,0,0,0,12228
endocardial cell,1451,0,216,0,621,308,3938,735,1796,0,0,9065
endothelial cell,858,1572,246,309,806,3685,0,0,0,1035,519,9030
fibroblast,3584,0,623,3,1,0,0,0,0,1781,1191,7183
smooth muscle cell,2356,0,664,42,393,77,766,222,641,74,134,5369
endothelial cell of vascular tree,0,0,0,0,880,168,1962,458,1443,0,0,4911
myeloid cell,2203,0,1120,0,57,21,519,67,376,0,0,4363
ventricular cardiac muscle cell,0,0,0,925,2080,23,40,31,61,0,0,3160
innate lymphoid cell,450,0,1206,0,16,4,726,51,551,0,0,3004
neuron,1763,0,251,19,13,0,0,0,0,239,109,2394
mesothelial cell of epicardium,375,0,515,0,0,0,0,0,0,987,399,2276
epicardial adipocyte,0,0,0,0,111,49,1124,147,460,0,0,1891
capillary endothelial cell,935,0,632,0,0,0,0,0,0,0,0,1567
fetal cardiomyocyte,1137,0,173,0,0,0,0,0,0,0,0,1310
pericyte,893,0,241,0,0,0,0,0,0,0,0,1134
neural cell,0,0,0,0,0,1000,0,0,0,0,0,1000
endothelial cell of artery,651,0,252,0,0,0,0,0,0,0,0,903
leukocyte,0,0,0,0,0,0,0,0,0,535,174,709
endothelial cell of lymphatic vessel,0,0,0,0,68,44,361,36,139,0,0,648
dermis microvascular lymphatic vessel endothelial cell,0,0,0,0,76,36,318,32,141,0,0,603
Schwann cell,0,0,0,0,70,18,250,35,162,0,0,535
megakaryocyte,0,0,0,0,38,10,167,36,110,0,0,361
visceromotor neuron,0,0,0,0,20,14,230,27,57,0,0,348
hematopoietic cell,0,2,0,0,0,326,0,0,0,0,0,328
mesenchymal stem cell,0,0,0,198,63,0,0,0,0,0,0,261
vein endothelial cell,168,0,80,0,0,0,0,0,0,0,0,248
macrophage,0,0,0,90,22,0,0,0,0,0,0,112
regular atrial cardiac myocyte,0,0,0,0,4,11,34,15,38,0,0,102
erythrocyte,0,0,0,0,0,0,0,0,0,75,24,99
erythroid lineage cell,0,0,0,45,35,0,0,0,0,0,0,80
epithelial cell,0,0,0,8,8,0,0,0,0,0,0,16
cell of skeletal muscle,0,0,0,0,15,0,0,0,0,0,0,15
T cell,0,0,0,8,3,0,0,0,0,0,0,11
professional antigen presenting cell,0,0,0,9,1,0,0,0,0,0,0,10
dendritic cell,0,0,0,6,3,0,0,0,0,0,0,9
erythroid progenitor cell,0,0,0,5,4,0,0,0,0,0,0,9
cord blood hematopoietic stem cell,0,0,0,4,2,0,0,0,0,0,0,6
erythroblast,0,0,0,0,0,0,2,0,4,0,0,6
neutrophil,0,0,0,3,2,0,0,0,0,0,0,5
valve interstitial cell,0,0,0,0,0,3,0,0,0,0,0,3
primordial germ cell,0,0,0,1,2,0,0,0,0,0,0,3
adipocyte,1,0,0,0,0,0,0,0,0,0,0,1
monocyte,0,0,0,1,0,0,0,0,0,0,0,1
Total,22557,7279,8332,2678,17557,42762,42276,13213,28644,18747,7647,211692
